# 1Charger
# https://plot.ly/~mr.jb.swe/41
#
# U[0]{k1=10000 k2=772 m=8}
# U[1]{k1=16000 k2=530 m=42}
# I[0]{k1=1110 k2=692 m=16}
# I[1]{k1=4690 k2=778 m=30}
#
#

ver=0.95
type={hours:min:sec,U,I,Wh,Ah,W,ADC-LogLux}
date=2014-08-28 06:24:00


00:00:01,2.74,0.00,0.00,0.00,0.00,694
00:00:02,2.81,0.00,0.00,0.00,0.00,694
00:00:03,2.82,0.00,0.00,0.00,0.00,693
00:00:04,2.82,0.00,0.00,0.00,0.00,696
00:00:05,2.82,0.00,0.00,0.00,0.00,699
00:00:06,2.82,0.00,0.00,0.00,0.00,701
00:00:07,2.82,0.00,0.00,0.00,0.00,701
00:00:08,2.82,0.00,0.00,0.00,0.00,701
00:00:09,2.82,0.04,0.00,0.00,0.11,701
00:00:10,2.82,0.05,0.00,0.00,0.12,701
00:00:11,2.82,0.04,0.00,0.00,0.10,701
00:00:12,2.82,0.04,0.00,0.00,0.11,701
00:00:13,2.82,0.04,0.00,0.00,0.11,698
00:00:14,2.82,0.04,0.00,0.00,0.10,697
00:00:15,2.82,0.04,0.00,0.00,0.10,697
00:00:16,2.82,0.04,0.00,0.00,0.10,697
00:00:17,2.82,0.04,0.00,0.00,0.10,697
00:00:18,2.82,0.04,0.00,0.00,0.10,692
00:00:19,2.82,0.04,0.00,0.00,0.10,695
00:00:20,2.82,0.04,0.00,0.00,0.11,696
00:00:21,2.82,0.04,0.00,0.00,0.10,695
00:00:22,2.82,0.04,0.00,0.00,0.10,699
00:00:23,2.82,0.04,0.00,0.00,0.09,700
00:00:24,2.82,0.04,0.00,0.00,0.10,702
00:00:25,2.82,0.04,0.00,0.00,0.11,703
00:00:26,2.82,0.04,0.00,0.00,0.11,702
00:00:27,2.82,0.04,0.00,0.00,0.12,703
00:00:28,2.82,0.04,0.00,0.00,0.11,703
00:00:29,2.82,0.04,0.00,0.00,0.11,700
00:00:30,2.82,0.04,0.00,0.00,0.10,664
00:00:31,2.82,0.04,0.00,0.00,0.12,675
00:00:32,2.82,0.04,0.00,0.00,0.11,677
00:00:33,2.82,0.04,0.00,0.00,0.12,681
00:00:34,2.82,0.04,0.00,0.00,0.10,682
00:00:35,2.82,0.04,0.00,0.00,0.10,684
00:00:36,2.82,0.04,0.00,0.00,0.11,689
00:00:37,2.82,0.04,0.00,0.00,0.11,697
00:00:38,2.82,0.04,0.00,0.00,0.11,696
00:00:39,2.82,0.04,0.00,0.00,0.10,694
00:00:40,2.82,0.04,0.00,0.00,0.10,694
00:00:41,2.82,0.04,0.00,0.00,0.10,695
00:00:42,2.82,0.03,0.00,0.00,0.09,696
00:00:43,2.82,0.04,0.00,0.00,0.11,699
