# 1Charger
#
# U[0]{k1=10000 k2=772 m=8}
# U[1]{k1=16000 k2=530 m=42}
# I[0]{k1=1110 k2=692 m=16}
# I[1]{k1=4690 k2=778 m=30}
#
#

ver=0.95
type={hours:min:sec,U,I,Wh,Ah,W,ADC-LogLux}
date=2014-12-28 09:25:00



00:03:32,2.74,0.04,0.00,0.00,0.09,684
00:03:33,2.73,0.04,0.00,0.00,0.11,687
00:03:34,2.74,0.06,0.00,0.00,0.17,701
00:03:35,2.74,0.07,0.00,0.00,0.19,701
00:03:36,2.74,0.11,0.00,0.00,0.29,712
00:03:37,2.74,0.12,0.00,0.00,0.31,715
00:03:38,2.74,0.11,0.00,0.00,0.31,708
00:03:39,2.74,0.11,0.00,0.00,0.30,712
00:03:40,2.74,0.11,0.00,0.00,0.29,712
00:03:41,2.74,0.12,0.00,0.00,0.32,712
00:03:42,2.74,0.12,0.00,0.00,0.32,713
00:03:43,2.74,0.12,0.00,0.00,0.32,713
00:03:44,2.74,0.12,0.00,0.00,0.32,713
00:03:45,2.74,0.12,0.00,0.00,0.32,713
00:03:46,2.74,0.10,0.00,0.00,0.26,713
00:03:47,2.74,0.10,0.00,0.00,0.27,713
00:03:48,2.74,0.12,0.00,0.00,0.31,712
00:03:49,2.74,0.10,0.00,0.00,0.27,712
00:03:50,2.74,0.12,0.00,0.00,0.32,712
00:03:51,2.74,0.12,0.00,0.00,0.31,712
00:03:52,2.74,0.13,0.00,0.00,0.35,712
00:03:53,2.74,0.13,0.00,0.00,0.34,716
00:03:54,2.74,0.13,0.00,0.00,0.36,717
00:03:55,2.74,0.13,0.00,0.00,0.36,718
00:03:56,2.74,0.13,0.00,0.00,0.35,718
00:03:57,2.74,0.13,0.00,0.00,0.36,718
00:03:58,2.74,0.13,0.00,0.00,0.36,718
00:03:59,2.74,0.13,0.00,0.00,0.36,719
00:04:00,2.74,0.13,0.00,0.00,0.36,719
00:04:01,2.74,0.13,0.00,0.00,0.36,720
00:04:02,2.74,0.13,0.00,0.00,0.36,720
00:04:03,2.74,0.14,0.00,0.00,0.37,720
00:04:04,2.74,0.14,0.00,0.00,0.37,721
00:04:05,2.74,0.13,0.00,0.00,0.36,721
00:04:06,2.74,0.14,0.00,0.00,0.37,721
00:04:07,2.74,0.15,0.00,0.00,0.41,722
00:04:08,2.74,0.11,0.00,0.00,0.29,722
00:04:09,2.74,0.16,0.00,0.00,0.44,722
00:04:10,2.74,0.15,0.00,0.00,0.41,723
00:04:11,2.74,0.15,0.00,0.00,0.39,723
00:04:12,2.74,0.15,0.00,0.00,0.40,723
00:04:13,2.74,0.15,0.00,0.00,0.40,724
