# 1Charger
#
# U[0]{k1=10000 k2=772 m=8}
# U[1]{k1=16000 k2=530 m=42}
# I[0]{k1=1110 k2=692 m=16}
# I[1]{k1=4690 k2=778 m=30}
#
#

ver=0.95
type={hours:min:sec,U,I,Wh,Ah,W,ADC-LogLux}
date=2015-04-30 07:48:00


00:03:21,2.96,0.62,0.00,0.00,1.84,873
00:03:22,2.96,0.64,0.00,0.00,1.88,867
00:03:23,2.96,0.69,0.01,0.00,2.04,865
00:03:24,2.96,0.72,0.01,0.00,2.13,866
00:03:25,2.96,0.77,0.01,0.00,2.28,867
00:03:26,2.96,0.80,0.01,0.00,2.35,873
00:03:27,2.96,0.83,0.01,0.00,2.45,885
00:03:28,2.97,0.85,0.01,0.00,2.53,886
00:03:29,2.97,0.87,0.01,0.00,2.57,888
00:03:30,2.97,0.89,0.01,0.00,2.64,890
00:03:31,2.97,0.90,0.01,0.00,2.66,891
00:03:32,2.97,0.91,0.01,0.00,2.71,892
00:03:33,2.97,0.92,0.01,0.00,2.73,894
00:03:34,2.97,0.92,0.01,0.00,2.74,894
00:03:35,2.97,0.93,0.01,0.00,2.76,895
00:03:36,2.97,0.94,0.01,0.00,2.79,895
00:03:37,2.97,0.95,0.02,0.01,2.83,895
00:03:38,2.97,0.96,0.02,0.01,2.84,895
00:03:39,2.97,0.94,0.02,0.01,2.79,894
00:03:40,2.97,0.94,0.02,0.01,2.78,894
00:03:41,2.97,0.93,0.02,0.01,2.75,893
00:03:42,2.97,0.93,0.02,0.01,2.75,893
00:03:43,2.98,0.92,0.02,0.01,2.74,893
00:03:44,2.97,0.93,0.02,0.01,2.75,893
00:03:45,2.98,0.94,0.02,0.01,2.78,894
00:03:46,2.98,0.95,0.02,0.01,2.81,894
00:03:47,2.98,0.96,0.02,0.01,2.85,895
00:03:48,2.98,0.96,0.02,0.01,2.86,895
00:03:49,2.99,0.97,0.02,0.01,2.88,896
00:03:50,2.99,0.96,0.03,0.01,2.87,896
00:03:51,2.99,0.96,0.03,0.01,2.85,895
00:03:52,2.99,0.95,0.03,0.01,2.84,895
00:03:53,2.99,0.94,0.03,0.01,2.79,894
00:03:54,2.99,0.92,0.03,0.01,2.74,892
00:03:55,2.99,0.90,0.03,0.01,2.69,891
00:03:56,2.99,0.89,0.03,0.01,2.66,890
00:03:57,2.98,0.87,0.03,0.01,2.60,889
00:03:58,2.99,0.86,0.03,0.01,2.56,888
00:03:59,2.99,0.85,0.03,0.01,2.53,887
00:04:00,2.99,0.83,0.03,0.01,2.48,886
00:04:01,2.99,0.83,0.03,0.01,2.47,886
00:04:02,2.99,0.82,0.03,0.01,2.45,885
00:04:03,2.99,0.82,0.04,0.01,2.45,885
00:04:04,2.99,0.82,0.04,0.01,2.43,885
00:04:05,2.99,0.81,0.04,0.01,2.42,884
00:04:06,2.99,0.81,0.04,0.01,2.41,884
00:04:07,2.99,0.81,0.04,0.01,2.41,884
00:04:08,2.99,0.81,0.04,0.01,2.40,884
00:04:09,2.99,0.81,0.04,0.01,2.41,884
00:04:10,2.99,0.81,0.04,0.01,2.42,884
00:04:11,2.99,0.81,0.04,0.01,2.43,884
00:04:12,2.99,0.82,0.04,0.01,2.44,885
00:04:13,2.99,0.83,0.04,0.01,2.47,886
00:04:14,2.99,0.84,0.04,0.01,2.52,887
00:04:15,2.99,0.86,0.04,0.01,2.56,888
00:04:16,2.99,0.88,0.04,0.01,2.62,889
00:04:17,2.99,0.90,0.04,0.02,2.68,891
00:04:18,2.99,0.91,0.05,0.02,2.71,892
00:04:19,2.99,0.93,0.05,0.02,2.79,894
00:04:20,2.99,0.94,0.05,0.02,2.82,894
00:04:21,3.00,0.95,0.05,0.02,2.83,895
