# 1Charger
#
# U[0]{k1=10000 k2=772 m=8}
# U[1]{k1=16000 k2=530 m=42}
# I[0]{k1=1110 k2=692 m=16}
# I[1]{k1=4690 k2=778 m=30}
#
#

ver=0.95
type={hours:min:sec,U,I,Wh,Ah,W}
date=2014-08-24 00:00:00



00:00:05,2.98,5.54,0.00,0.00,16.45
00:00:06,2.88,5.51,0.01,0.00,15.87
00:00:07,2.90,5.50,0.01,0.00,15.91
00:00:08,2.90,5.49,0.02,0.01,15.90
00:00:09,2.91,5.48,0.02,0.01,15.93
00:00:10,2.92,5.47,0.03,0.01,15.95
00:00:11,2.92,5.46,0.03,0.01,15.94
00:00:12,2.94,5.45,0.04,0.01,15.98
00:00:13,2.94,5.44,0.04,0.01,15.96
00:00:14,2.94,5.43,0.04,0.02,15.98
00:00:15,2.95,5.42,0.05,0.02,15.98
00:00:16,2.95,5.42,0.05,0.02,15.98
00:00:17,2.96,5.41,0.06,0.02,16.00
00:00:18,2.96,5.40,0.06,0.02,15.99
00:00:19,2.97,5.39,0.07,0.02,16.01
00:00:20,2.97,5.39,0.07,0.02,16.02
00:00:21,2.97,5.38,0.08,0.03,16.00
00:00:22,2.98,5.37,0.08,0.03,16.00
00:00:23,2.99,5.37,0.08,0.03,16.03
00:00:24,2.99,5.36,0.09,0.03,16.01
00:00:25,2.99,5.35,0.09,0.03,16.01
00:00:26,3.00,5.35,0.10,0.03,16.04
00:00:27,3.00,5.35,0.10,0.03,16.03
00:00:28,3.00,5.34,0.11,0.04,16.02
00:00:29,3.00,5.33,0.11,0.04,16.00
00:00:30,3.01,5.33,0.12,0.04,16.04
00:00:31,3.01,5.32,0.12,0.04,16.03
00:00:32,3.01,5.32,0.12,0.04,16.02
00:00:33,3.02,5.31,0.13,0.04,16.02
00:00:34,3.03,5.31,0.13,0.04,16.06
00:00:35,3.03,5.31,0.14,0.05,16.05
00:00:36,3.03,5.30,0.14,0.05,16.04
00:00:37,3.03,5.30,0.15,0.05,16.02
00:00:38,3.03,5.29,0.15,0.05,16.05
00:00:39,3.04,5.29,0.16,0.05,16.07
00:00:40,3.04,5.28,0.16,0.05,16.05
00:00:41,3.04,5.28,0.16,0.06,16.04
00:00:42,3.04,5.28,0.17,0.06,16.04
00:00:43,3.05,5.27,0.17,0.06,16.07
00:00:44,3.05,5.27,0.18,0.06,16.08
00:00:45,3.05,5.26,0.18,0.06,16.06
00:00:46,3.05,5.26,0.19,0.06,16.05
00:00:47,3.05,5.26,0.19,0.06,16.04
00:00:48,3.06,5.25,0.20,0.07,16.06
00:00:49,3.06,5.25,0.20,0.07,16.07
00:00:50,3.06,5.25,0.20,0.07,16.07
00:00:51,3.06,5.24,0.21,0.07,16.06
00:00:52,3.06,5.24,0.21,0.07,16.05
00:00:53,3.07,5.24,0.22,0.07,16.06
00:00:54,3.07,5.23,0.22,0.07,16.07
00:00:55,3.08,5.23,0.23,0.08,16.07
00:00:56,3.08,5.23,0.23,0.08,16.07
00:00:57,3.08,5.22,0.24,0.08,16.06
00:00:58,3.08,5.22,0.24,0.08,16.05
00:00:59,3.08,5.22,0.24,0.08,16.05
00:01:00,3.08,5.21,0.25,0.08,16.04
00:01:01,3.09,5.21,0.25,0.08,16.07
00:01:02,3.09,5.20,0.26,0.09,16.07
00:01:03,3.09,5.20,0.26,0.09,16.07
00:01:04,3.09,5.20,0.27,0.09,16.06
00:01:05,3.09,5.20,0.27,0.09,16.06
00:01:06,3.09,5.20,0.28,0.09,16.05
00:01:07,3.10,5.19,0.28,0.09,16.07
00:01:08,3.10,5.19,0.29,0.09,16.08
00:01:09,3.10,5.19,0.29,0.10,16.09
00:01:10,3.10,5.19,0.29,0.10,16.08
00:01:11,3.10,5.18,0.30,0.10,16.07
00:01:12,3.10,5.18,0.30,0.10,16.07
00:01:13,3.10,5.18,0.31,0.10,16.06
00:01:14,3.10,5.17,0.31,0.10,16.05
00:01:15,3.11,5.17,0.32,0.10,16.09
00:01:16,3.11,5.17,0.32,0.11,16.08
00:01:17,3.12,5.17,0.33,0.11,16.10
00:01:18,3.12,5.16,0.33,0.11,16.09
00:01:19,3.12,5.16,0.33,0.11,16.08
00:01:20,3.12,5.16,0.34,0.11,16.07
00:01:21,3.12,5.16,0.34,0.11,16.06
00:01:22,3.12,5.15,0.35,0.11,16.06
00:01:23,3.12,5.15,0.35,0.12,16.08
00:01:24,3.13,5.15,0.36,0.12,16.10
00:01:25,3.13,5.15,0.36,0.12,16.10
00:01:26,3.13,5.14,0.37,0.12,16.09
00:01:27,3.13,5.14,0.37,0.12,16.08
00:01:28,3.13,5.14,0.37,0.12,16.07
00:01:29,3.13,5.14,0.38,0.12,16.07
00:01:30,3.13,5.13,0.38,0.13,16.07
00:01:31,3.13,5.13,0.39,0.13,16.07
00:01:32,3.14,5.13,0.39,0.13,16.10
00:01:33,3.14,5.13,0.40,0.13,16.09
00:01:34,3.14,5.13,0.40,0.13,16.10
00:01:35,3.14,5.12,0.41,0.13,16.09
00:01:36,3.14,5.12,0.41,0.13,16.08
00:01:37,3.14,5.12,0.41,0.14,16.07
00:01:38,3.14,5.12,0.42,0.14,16.07
00:01:39,3.14,5.11,0.42,0.14,16.06
00:01:40,3.15,5.11,0.43,0.14,16.08
00:01:41,3.15,5.11,0.43,0.14,16.07
00:01:42,3.15,5.11,0.44,0.14,16.11
00:01:43,3.16,5.11,0.44,0.14,16.11
00:01:44,3.16,5.10,0.45,0.15,16.10
00:01:45,3.16,5.10,0.45,0.15,16.09
00:01:46,3.16,5.10,0.45,0.15,16.08
00:01:47,3.16,5.10,0.46,0.15,16.08
00:01:48,3.16,5.10,0.46,0.15,16.07
00:01:49,3.16,5.09,0.47,0.15,16.06
00:01:50,3.16,5.09,0.47,0.15,16.06
00:01:51,3.16,5.09,0.48,0.16,16.08
00:01:52,3.16,5.09,0.48,0.16,16.09
00:01:53,3.17,5.09,0.49,0.16,16.10
00:01:54,3.17,5.08,0.49,0.16,16.09
00:01:55,3.17,5.08,0.50,0.16,16.09
00:01:56,3.17,5.08,0.50,0.16,16.08
00:01:57,3.17,5.08,0.50,0.16,16.07
00:01:58,3.17,5.07,0.51,0.17,16.07
00:01:59,3.17,5.07,0.51,0.17,16.06
00:02:00,3.17,5.07,0.52,0.17,16.07
00:02:01,3.17,5.07,0.52,0.17,16.07
00:02:02,3.17,5.07,0.53,0.17,16.08
00:02:03,3.18,5.07,0.53,0.17,16.10
00:02:04,3.18,5.06,0.54,0.17,16.10
00:02:05,3.18,5.06,0.54,0.18,16.09
00:02:06,3.18,5.06,0.54,0.18,16.09
00:02:07,3.18,5.06,0.55,0.18,16.08
00:02:08,3.18,5.06,0.55,0.18,16.07
00:02:09,3.18,5.05,0.56,0.18,16.07
00:02:10,3.18,5.05,0.56,0.18,16.06
00:02:11,3.18,5.05,0.57,0.18,16.06
00:02:12,3.18,5.05,0.57,0.19,16.06
00:02:13,3.19,5.05,0.58,0.19,16.07
00:02:14,3.19,5.04,0.58,0.19,16.09
00:02:15,3.19,5.04,0.58,0.19,16.09
00:02:16,3.19,5.04,0.59,0.19,16.09
00:02:17,3.19,5.04,0.59,0.19,16.09
00:02:18,3.19,5.04,0.60,0.19,16.09
00:02:19,3.19,5.04,0.60,0.20,16.08
00:02:20,3.19,5.03,0.61,0.20,16.07
00:02:21,3.19,5.03,0.61,0.20,16.07
00:02:22,3.19,5.03,0.62,0.20,16.06
00:02:23,3.19,5.03,0.62,0.20,16.05
00:02:24,3.20,5.03,0.62,0.20,16.06
00:02:25,3.20,5.03,0.63,0.20,16.06
00:02:26,3.20,5.02,0.63,0.20,16.10
00:02:27,3.21,5.02,0.64,0.21,16.09
00:02:28,3.21,5.02,0.64,0.21,16.10
00:02:29,3.21,5.02,0.65,0.21,16.09
00:02:30,3.21,5.02,0.65,0.21,16.08
00:02:31,3.21,5.02,0.66,0.21,16.08
00:02:32,3.21,5.01,0.66,0.21,16.07
00:02:33,3.21,5.01,0.66,0.21,16.07
00:02:34,3.21,5.01,0.67,0.22,16.06
00:02:35,3.21,5.01,0.67,0.22,16.07
00:02:36,3.21,5.01,0.68,0.22,16.06
00:02:37,3.21,5.01,0.68,0.22,16.06
00:02:38,3.21,5.01,0.69,0.22,16.06
00:02:39,3.21,5.01,0.69,0.22,16.08
00:02:40,3.22,5.00,0.70,0.22,16.09
00:02:41,3.22,5.00,0.70,0.23,16.08
00:02:42,3.22,5.00,0.71,0.23,16.09
00:02:43,3.22,5.00,0.71,0.23,16.09
00:02:44,3.22,5.00,0.71,0.23,16.09
00:02:45,3.22,4.99,0.72,0.23,16.08
00:02:46,3.22,4.99,0.72,0.23,16.07
00:02:47,3.22,4.99,0.73,0.23,16.07
00:02:48,3.22,4.99,0.73,0.24,16.07
00:02:49,3.22,4.99,0.74,0.24,16.06
00:02:50,3.22,4.99,0.74,0.24,16.06
00:02:51,3.22,4.99,0.75,0.24,16.06
00:02:52,3.22,4.99,0.75,0.24,16.06
00:02:53,3.22,4.98,0.75,0.24,16.06
00:02:54,3.23,4.98,0.76,0.24,16.07
00:02:55,3.23,4.98,0.76,0.25,16.09
00:02:56,3.23,4.98,0.77,0.25,16.10
00:02:57,3.23,4.98,0.77,0.25,16.09
00:02:58,3.23,4.98,0.78,0.25,16.09
00:02:59,3.23,4.98,0.78,0.25,16.08
00:03:00,3.23,4.97,0.79,0.25,16.08
00:03:01,3.23,4.97,0.79,0.25,16.08
00:03:02,3.23,4.97,0.79,0.25,16.08
00:03:03,3.23,4.97,0.80,0.26,16.07
00:03:04,3.23,4.97,0.80,0.26,16.06
00:03:05,3.23,4.97,0.81,0.26,16.06
00:03:06,3.23,4.97,0.81,0.26,16.06
00:03:07,3.23,4.97,0.82,0.26,16.05
00:03:08,3.24,4.96,0.82,0.26,16.06
00:03:09,3.24,4.96,0.83,0.26,16.08
00:03:10,3.24,4.96,0.83,0.27,16.09
00:03:11,3.24,4.96,0.83,0.27,16.09
00:03:12,3.24,4.96,0.84,0.27,16.09
00:03:13,3.25,4.96,0.84,0.27,16.09
00:03:14,3.24,4.96,0.85,0.27,16.08
00:03:15,3.25,4.96,0.85,0.27,16.08
00:03:16,3.25,4.95,0.86,0.27,16.08
00:03:17,3.25,4.95,0.86,0.28,16.08
00:03:18,3.25,4.95,0.87,0.28,16.06
00:03:19,3.25,4.95,0.87,0.28,16.06
00:03:20,3.25,4.95,0.87,0.28,16.06
00:03:21,3.25,4.95,0.88,0.28,16.05
00:03:22,3.25,4.95,0.88,0.28,16.05
00:03:23,3.25,4.94,0.89,0.28,16.06
00:03:24,3.25,4.94,0.89,0.29,16.05
00:03:25,3.25,4.94,0.90,0.29,16.05
00:03:26,3.25,4.94,0.90,0.29,16.06
00:03:27,3.25,4.94,0.91,0.29,16.06
00:03:28,3.26,4.94,0.91,0.29,16.08
00:03:29,3.26,4.93,0.91,0.29,16.06
00:03:30,3.26,4.93,0.92,0.29,16.06
00:03:31,3.26,4.93,0.92,0.29,16.06
00:03:32,3.26,4.93,0.93,0.30,16.06
00:03:33,3.26,4.93,0.93,0.30,16.05
00:03:34,3.26,4.93,0.94,0.30,16.05
00:03:35,3.26,4.92,0.94,0.30,16.04
00:03:36,3.26,4.92,0.95,0.30,16.03
00:03:37,3.26,4.92,0.95,0.30,16.03
00:03:38,3.26,4.92,0.96,0.30,16.02
00:03:39,3.26,4.92,0.96,0.31,16.02
00:03:40,3.26,4.91,0.96,0.31,16.01
00:03:41,3.26,4.92,0.97,0.31,16.01
00:03:42,3.26,4.91,0.97,0.31,16.02
00:03:43,3.26,4.91,0.98,0.31,16.01
00:03:44,3.26,4.91,0.98,0.31,16.02
00:03:45,3.27,4.91,0.99,0.31,16.03
00:03:46,3.27,4.91,0.99,0.32,16.06
00:03:47,3.27,4.91,1.00,0.32,16.05
00:03:48,3.27,4.91,1.00,0.32,16.04
00:03:49,3.27,4.91,1.00,0.32,16.04
00:03:50,3.27,4.90,1.01,0.32,16.04
00:03:51,3.27,4.90,1.01,0.32,16.04
00:03:52,3.27,4.90,1.02,0.32,16.03
00:03:53,3.27,4.90,1.02,0.32,16.03
00:03:54,3.27,4.90,1.03,0.33,16.02
00:03:55,3.27,4.90,1.03,0.33,16.02
00:03:56,3.27,4.90,1.04,0.33,16.02
00:03:57,3.27,4.90,1.04,0.33,16.01
00:03:58,3.27,4.90,1.04,0.33,16.02
00:03:59,3.27,4.90,1.05,0.33,16.01
00:04:00,3.27,4.90,1.05,0.33,16.02
00:04:01,3.28,4.90,1.06,0.34,16.03
00:04:02,3.28,4.89,1.06,0.34,16.05
00:04:03,3.28,4.89,1.07,0.34,16.05
00:04:04,3.28,4.89,1.07,0.34,16.05
00:04:05,3.28,4.89,1.08,0.34,16.04
00:04:06,3.28,4.89,1.08,0.34,16.04
00:04:07,3.28,4.89,1.08,0.34,16.04
00:04:08,3.29,4.89,1.09,0.35,16.04
00:04:09,3.29,4.89,1.09,0.35,16.04
00:04:10,3.28,4.88,1.10,0.35,16.03
00:04:11,3.29,4.88,1.10,0.35,16.03
00:04:12,3.29,4.88,1.11,0.35,16.03
00:04:13,3.29,4.88,1.11,0.35,16.03
00:04:14,3.29,4.88,1.12,0.35,16.03
00:04:15,3.29,4.88,1.12,0.35,16.02
00:04:16,3.29,4.88,1.12,0.36,16.02
00:04:17,3.29,4.88,1.13,0.36,16.01
00:04:18,3.29,4.87,1.13,0.36,16.01
00:04:19,3.29,4.87,1.14,0.36,16.01
00:04:20,3.29,4.87,1.14,0.36,16.00
00:04:21,3.29,4.87,1.15,0.36,16.01
00:04:22,3.29,4.87,1.15,0.36,16.00
00:04:23,3.29,4.87,1.16,0.37,16.01
00:04:24,3.29,4.87,1.16,0.37,16.03
00:04:25,3.29,4.87,1.16,0.37,16.01
00:04:26,3.30,4.86,1.17,0.37,16.03
00:04:27,3.30,4.86,1.17,0.37,16.04
00:04:28,3.30,4.86,1.18,0.37,16.03
00:04:29,3.30,4.86,1.18,0.37,16.03
00:04:30,3.30,4.86,1.19,0.37,16.03
00:04:31,3.30,4.86,1.19,0.38,16.03
00:04:32,3.30,4.86,1.20,0.38,16.02
00:04:33,3.30,4.86,1.20,0.38,16.02
00:04:34,3.30,4.86,1.20,0.38,16.02
00:04:35,3.30,4.86,1.21,0.38,16.02
00:04:36,3.30,4.86,1.21,0.38,16.02
00:04:37,3.30,4.86,1.22,0.38,16.01
00:04:38,3.30,4.86,1.22,0.39,16.01
00:04:39,3.30,4.85,1.23,0.39,16.00
00:04:40,3.30,4.85,1.23,0.39,16.00
00:04:41,3.30,4.85,1.24,0.39,16.00
00:04:42,3.30,4.85,1.24,0.39,16.00
00:04:43,3.30,4.85,1.24,0.39,16.00
00:04:44,3.30,4.85,1.25,0.39,16.00
00:04:45,3.30,4.85,1.25,0.40,16.02
00:04:46,3.30,4.85,1.26,0.40,16.02
00:04:47,3.31,4.85,1.26,0.40,16.03
