# 1Charger
#
# https://plot.ly/~mr.jb.swe/38
#
# U[0]{k1=10000 k2=772 m=8}
# U[1]{k1=16000 k2=530 m=42}
# I[0]{k1=1110 k2=692 m=16}
# I[1]{k1=4690 k2=778 m=30}
#
#

ver=0.95
type={hours:min:sec,U,I,Wh,Ah,W,ADC-LogLux}
date=2014-08-17 08:25:00


00:00:01,2.57,0.00,0.00,0.00,0.00,738
00:00:02,2.64,0.00,0.00,0.00,0.00,673
00:00:03,2.65,0.00,0.00,0.00,0.00,651
00:00:04,2.65,0.00,0.00,0.00,0.00,790
00:00:05,2.65,0.00,0.00,0.00,0.00,800
00:00:06,2.65,0.00,0.00,0.00,0.00,772
00:00:07,2.65,0.00,0.00,0.00,0.00,790
00:00:08,2.65,0.00,0.00,0.00,0.00,801
00:00:09,2.65,0.00,0.00,0.00,0.00,801
00:00:10,2.65,0.00,0.00,0.00,0.00,799
00:00:11,2.65,0.00,0.00,0.00,0.00,798
00:00:12,2.65,0.00,0.00,0.00,0.00,797
00:00:13,2.65,0.00,0.00,0.00,0.00,803
00:00:14,2.65,0.02,0.00,0.00,0.04,802
00:00:15,2.65,0.08,0.00,0.00,0.20,804
00:00:16,2.65,0.12,0.00,0.00,0.32,807
00:00:17,2.65,0.11,0.00,0.00,0.30,808
00:00:18,2.65,0.20,0.00,0.00,0.51,814
00:00:19,2.65,0.22,0.00,0.00,0.58,823
00:00:20,2.66,0.23,0.00,0.00,0.60,832
00:00:21,2.66,0.24,0.00,0.00,0.62,833
00:00:22,2.66,0.23,0.00,0.00,0.61,832
00:00:23,2.66,0.23,0.00,0.00,0.62,831
00:00:24,2.66,0.23,0.00,0.00,0.61,830
00:00:25,2.66,0.23,0.00,0.00,0.61,830
00:00:26,2.66,0.23,0.00,0.00,0.60,827
00:00:27,2.66,0.23,0.00,0.00,0.62,721
00:00:28,2.66,0.23,0.00,0.00,0.61,790
00:00:29,2.66,0.22,0.00,0.00,0.58,829
00:00:30,2.66,0.24,0.00,0.00,0.62,830
00:00:31,2.66,0.23,0.00,0.00,0.61,831
00:00:32,2.66,0.24,0.00,0.00,0.62,832
00:00:33,2.66,0.24,0.00,0.00,0.63,832
00:00:34,2.66,0.24,0.00,0.00,0.62,832
00:00:35,2.66,0.26,0.00,0.00,0.68,835
00:00:36,2.66,0.24,0.00,0.00,0.64,837
00:00:37,2.66,0.24,0.00,0.00,0.64,837
00:00:38,2.66,0.24,0.00,0.00,0.63,837
00:00:39,2.66,0.23,0.00,0.00,0.59,837
00:00:40,2.66,0.24,0.00,0.00,0.63,839
00:00:41,2.66,0.24,0.00,0.00,0.62,840
00:00:42,2.66,0.24,0.00,0.00,0.62,840
00:00:43,2.66,0.23,0.00,0.00,0.62,839
00:00:44,2.66,0.24,0.00,0.00,0.65,839
00:00:45,2.66,0.23,0.01,0.00,0.61,839
00:00:46,2.66,0.23,0.01,0.00,0.62,838
00:00:47,2.66,0.25,0.01,0.00,0.66,833
00:00:48,2.66,0.21,0.01,0.00,0.54,819
00:00:49,2.66,0.21,0.01,0.00,0.55,816
00:00:50,2.66,0.21,0.01,0.00,0.56,815
00:00:51,2.66,0.21,0.01,0.00,0.55,817
00:00:52,2.66,0.23,0.01,0.00,0.61,820
00:00:53,2.66,0.24,0.01,0.00,0.62,820
00:00:54,2.67,0.23,0.01,0.00,0.61,820
00:00:55,2.67,0.24,0.01,0.00,0.63,820
00:00:56,2.67,0.24,0.01,0.00,0.64,820
00:00:57,2.67,0.23,0.01,0.00,0.62,820
00:00:58,2.67,0.22,0.01,0.00,0.59,819
00:00:59,2.67,0.23,0.01,0.00,0.61,817
00:01:00,2.67,0.22,0.01,0.00,0.59,818
00:01:01,2.67,0.22,0.01,0.00,0.59,823
00:01:02,2.67,0.29,0.01,0.00,0.77,834
00:01:03,2.67,0.24,0.01,0.00,0.64,835
00:01:04,2.68,0.26,0.01,0.00,0.68,836
00:01:05,2.67,0.20,0.01,0.00,0.53,836
00:01:06,2.68,0.23,0.01,0.00,0.60,835
00:01:07,2.68,0.24,0.01,0.00,0.63,836
00:01:08,2.67,0.26,0.01,0.00,0.68,836
00:01:09,2.68,0.22,0.01,0.00,0.58,834
00:01:10,2.67,0.22,0.01,0.00,0.59,822
00:01:11,2.68,0.21,0.01,0.00,0.56,830
00:01:12,2.68,0.20,0.01,0.00,0.53,834
00:01:13,2.67,0.24,0.01,0.00,0.65,837
00:01:14,2.68,0.21,0.01,0.00,0.56,836
00:01:15,2.68,0.22,0.01,0.00,0.58,836
00:01:16,2.68,0.24,0.01,0.00,0.63,836
00:01:17,2.68,0.23,0.01,0.00,0.61,836
00:01:18,2.68,0.23,0.01,0.00,0.61,837
00:01:19,2.68,0.23,0.01,0.00,0.61,837
00:01:20,2.68,0.22,0.01,0.00,0.59,837
00:01:21,2.68,0.23,0.01,0.00,0.62,838
00:01:22,2.68,0.20,0.01,0.00,0.54,836
00:01:23,2.68,0.19,0.01,0.00,0.50,836
00:01:24,2.68,0.19,0.01,0.00,0.49,836
00:01:25,2.68,0.18,0.01,0.00,0.49,835
00:01:26,2.68,0.22,0.01,0.00,0.59,837
00:01:27,2.68,0.22,0.01,0.00,0.58,838
00:01:28,2.68,0.22,0.01,0.00,0.58,838
00:01:29,2.68,0.23,0.01,0.00,0.60,838
00:01:30,2.68,0.22,0.01,0.00,0.60,838
00:01:31,2.68,0.23,0.01,0.00,0.60,840
00:01:32,2.68,0.22,0.01,0.00,0.59,839
00:01:33,2.68,0.27,0.01,0.00,0.72,836
00:01:34,2.68,0.22,0.01,0.00,0.57,831
00:01:35,2.68,0.22,0.01,0.01,0.57,830
00:01:36,2.68,0.21,0.01,0.01,0.57,830
00:01:37,2.68,0.21,0.01,0.01,0.55,831
00:01:38,2.68,0.23,0.01,0.01,0.61,832
00:01:39,2.68,0.24,0.01,0.01,0.62,807
00:01:40,2.68,0.23,0.01,0.01,0.60,669
00:01:41,2.68,0.21,0.01,0.01,0.55,818
00:01:42,2.68,0.21,0.01,0.01,0.55,824
00:01:43,2.68,0.20,0.01,0.01,0.54,757
00:01:44,2.68,0.21,0.01,0.01,0.55,764
00:01:45,2.68,0.21,0.02,0.01,0.56,770
00:01:46,2.68,0.21,0.02,0.01,0.54,796
00:01:47,2.68,0.20,0.02,0.01,0.54,810
00:01:48,2.68,0.21,0.02,0.01,0.56,721
00:01:49,2.68,0.22,0.02,0.01,0.59,764
00:01:50,2.68,0.21,0.02,0.01,0.55,797
00:01:51,2.68,0.21,0.02,0.01,0.55,811
00:01:52,2.68,0.21,0.02,0.01,0.56,813
00:01:53,2.68,0.20,0.02,0.01,0.53,816
00:01:54,2.68,0.21,0.02,0.01,0.55,818
00:01:55,2.69,0.23,0.02,0.01,0.62,836
00:01:56,2.69,0.22,0.02,0.01,0.59,838
00:01:57,2.69,0.23,0.02,0.01,0.61,838
00:01:58,2.69,0.23,0.02,0.01,0.61,836
00:01:59,2.69,0.23,0.02,0.01,0.60,836
00:02:00,2.69,0.22,0.02,0.01,0.59,836
00:02:01,2.69,0.23,0.02,0.01,0.62,836
00:02:02,2.69,0.22,0.02,0.01,0.60,837
00:02:03,2.69,0.23,0.02,0.01,0.62,838
00:02:04,2.69,0.24,0.02,0.01,0.63,839
00:02:05,2.69,0.23,0.02,0.01,0.60,838
00:02:06,2.69,0.23,0.02,0.01,0.61,838
00:02:07,2.69,0.21,0.02,0.01,0.55,824
00:02:08,2.69,0.21,0.02,0.01,0.55,817
00:02:09,2.69,0.21,0.02,0.01,0.55,815
00:02:10,2.69,0.21,0.02,0.01,0.57,817
00:02:11,2.69,0.21,0.02,0.01,0.57,825
00:02:12,2.69,0.21,0.02,0.01,0.57,832
00:02:13,2.69,0.22,0.02,0.01,0.58,836
00:02:14,2.69,0.23,0.02,0.01,0.61,837
00:02:15,2.69,0.23,0.02,0.01,0.62,839
